"Time","emqx-0","emqx-1","emqx-3","emqx-2"
2023-06-26 18:29:00,0,0,0,0
2023-06-26 18:29:15,0,0,0,0
2023-06-26 18:29:30,0,0,0,0
2023-06-26 18:29:45,0,0,0,0
2023-06-26 18:30:00,0,0,0,0
2023-06-26 18:30:15,2,2,0,6
2023-06-26 18:30:30,2,2,0,6
2023-06-26 18:30:45,3,5,0,15
2023-06-26 18:31:00,3,5,0,15
2023-06-26 18:31:15,232,1266,190,2273
2023-06-26 18:31:30,3223,3366,2082,7092
2023-06-26 18:31:45,5825,8792,3444,20609
2023-06-26 18:32:00,14815,12661,8776,31539
2023-06-26 18:32:15,20289,23967,12553,57656
2023-06-26 18:32:30,35972,31145,24571,73326
2023-06-26 18:32:45,45201,47208,32526,107308
2023-06-26 18:33:00,68938,57080,52935,126046
2023-06-26 18:33:15,83018,78743,64915,166892
2023-06-26 18:33:30,113680,90596,92944,189564
2023-06-26 18:33:45,130089,115802,109999,241026
2023-06-26 18:34:00,165585,129095,147686,269045
2023-06-26 18:34:15,185025,157379,170102,329584
2023-06-26 18:34:30,226748,172380,218825,362241
2023-06-26 18:34:45,250509,204351,245495,429347
2023-06-26 18:35:00,299844,221548,305905,464195
2023-06-26 18:35:15,325810,258144,339336,537982
2023-06-26 18:35:30,380500,277455,409865,577170
2023-06-26 18:35:45,410276,319690,446413,658565
2023-06-26 18:36:00,475378,343013,522459,701541
2023-06-26 18:36:15,509267,390392,561670,788452
2023-06-26 18:36:30,580922,414979,646458,832724
2023-06-26 18:36:45,617974,464372,689326,921608
2023-06-26 18:37:00,692453,489178,775374,966313
2023-06-26 18:37:15,729960,539139,819262,1055844
2023-06-26 18:37:30,805347,564352,908346,1100932
2023-06-26 18:37:45,843552,615291,953074,1190990
2023-06-26 18:38:00,920251,641787,1042941,1236316
2023-06-26 18:38:15,958792,695708,1088043,1326872
2023-06-26 18:38:30,1035749,722976,1178267,1372344
2023-06-26 18:38:45,1074355,778109,1223444,1463062
2023-06-26 18:39:00,1151380,805753,1313782,1508570
2023-06-26 18:39:15,1189972,860991,1358971,1599277
2023-06-26 18:39:30,1266970,889098,1449476,1644787
2023-06-26 18:39:45,1305480,944734,1494692,1735310
2023-06-26 18:40:00,1382401,972541,1585077,1780629
2023-06-26 18:40:15,1420918,1028024,1630283,1871020
2023-06-26 18:40:30,1497792,1055706,1720688,1916359
2023-06-26 18:40:45,1536229,1110221,1765773,2006796
2023-06-26 18:41:00,1612908,1137484,1855847,2052121
2023-06-26 18:41:15,1651346,1191941,1900911,2142539
2023-06-26 18:41:30,1727878,1219173,1990409,2187880
2023-06-26 18:41:45,1766129,1273337,2034906,2278251
2023-06-26 18:42:00,1842560,1300481,2123830,2323540
2023-06-26 18:42:15,1880858,1354638,2168290,2413908
2023-06-26 18:42:30,1956914,1381756,2256431,2459139
2023-06-26 18:42:45,1995025,1435860,2300447,2549357
2023-06-26 18:43:00,2071002,1462966,2388366,2594571
2023-06-26 18:43:15,2109097,1516873,2432419,2684496
2023-06-26 18:43:30,2184943,1543795,2520203,2729267
2023-06-26 18:43:45,2222980,1597470,2564129,2818633
2023-06-26 18:44:00,2298714,1624357,2651905,2863397
2023-06-26 18:44:15,2336326,1677910,2695734,2952503
2023-06-26 18:44:30,2411206,1704752,2783397,2997133
2023-06-26 18:44:45,2448758,1758289,2827260,3086182
2023-06-26 18:45:00,2523295,1785109,2914842,3130727
2023-06-26 18:45:15,2560330,1838480,2958630,3219561
2023-06-26 18:45:30,2634210,1865294,3046115,3264054
2023-06-26 18:45:45,2671227,1918639,3089875,3352851
2023-06-26 18:46:00,2744468,1945335,3177209,3397323
2023-06-26 18:46:15,2780975,1998466,3220898,3486061
2023-06-26 18:46:30,2853794,2025105,3308151,3530507
2023-06-26 18:46:45,2890270,2077998,3351813,3619197
2023-06-26 18:47:00,2963029,2104055,3438887,3663550
2023-06-26 18:47:15,2999461,2155961,3482489,3752117
2023-06-26 18:47:30,3072227,2181999,3569539,3796468
2023-06-26 18:47:45,3108691,2233418,3613055,3885047
2023-06-26 18:48:00,3180663,2258763,3699615,3929036
2023-06-26 18:48:15,3215789,2307335,3742406,4012514
2023-06-26 18:48:30,3283552,2330840,3827142,4051761
2023-06-26 18:48:45,3316139,2376484,3868919,4124279
2023-06-26 18:49:00,3379247,2398766,3948976,4157366
2023-06-26 18:49:15,3410241,2441885,3987247,4220042
2023-06-26 18:49:30,3466338,2462841,4059725,4249682
2023-06-26 18:49:45,3493226,2503489,4094387,4306413
2023-06-26 18:50:00,3541195,2523053,4161076,4332871
2023-06-26 18:50:15,3563849,2560887,4193195,4382293
2023-06-26 18:50:30,3606970,2579147,4252456,4405213
2023-06-26 18:50:45,3627492,2614492,4279974,4446563
2023-06-26 18:51:00,3665811,2631624,4330526,4465965
2023-06-26 18:51:15,3683870,2664339,4352547,4501701
2023-06-26 18:51:30,3717300,2680301,4391689,4519043
2023-06-26 18:51:45,3731822,2709553,4408463,4551986
2023-06-26 18:52:00,3758595,2723654,4438441,4567772
2023-06-26 18:52:15,3770639,2749349,4451580,4593380
2023-06-26 18:52:30,3791431,2761571,4475877,4604657
2023-06-26 18:52:45,3800206,2781489,4486761,4624021
2023-06-26 18:53:00,3815626,2790492,4506537,4633023
2023-06-26 18:53:15,3822668,2807538,4514660,4650231
2023-06-26 18:53:30,3835989,2815864,4527960,4658726
2023-06-26 18:53:45,3842787,2832366,4534641,4675603
2023-06-26 18:54:00,3856129,2840692,4547936,4684095
2023-06-26 18:54:15,3862920,2857195,4554617,4700960
2023-06-26 18:54:30,3876263,2865500,4567911,4709448
2023-06-26 18:54:45,3883058,2882008,4574588,4726336
2023-06-26 18:55:00,3896397,2890292,4587886,4734822
2023-06-26 18:55:15,3903203,2906799,4594550,4751698
2023-06-26 18:55:30,3916525,2915120,4607853,4760185
2023-06-26 18:55:45,3923333,2931632,4614521,4777063
2023-06-26 18:56:00,3936657,2939950,4627833,4785542
2023-06-26 18:56:15,3943423,2956390,4634473,4802036
2023-06-26 18:56:30,3956347,2964519,4647282,4809467
2023-06-26 18:56:45,3962861,2980412,4653588,4823001
2023-06-26 18:57:00,3975511,2988139,4666075,4829786
2023-06-26 18:57:15,3981800,3001361,4672200,4842877
2023-06-26 18:57:30,3993936,3007583,4684229,4849389
2023-06-26 18:57:45,4000068,3019220,4690214,4862109
2023-06-26 18:58:00,4011643,3024169,4701718,4868360
2023-06-26 18:58:15,4017481,3033230,4707410,4880513
2023-06-26 18:58:30,4028774,3037721,4718641,4886362
2023-06-26 18:58:45,4034371,3046154,4724086,4895965
2023-06-26 18:59:00,4045251,3050368,4734818,4900433
2023-06-26 18:59:15,4050732,3058466,4740111,4908266
2023-06-26 18:59:30,4061052,3062386,4750258,4911316
2023-06-26 18:59:45,4066278,3070046,4755315,4916739
2023-06-26 19:00:00,4076249,3073812,4764171,4919426
2023-06-26 19:00:15,4081163,3080910,4767708,4924187
2023-06-26 19:00:30,4090600,3084468,4774447,4926613
2023-06-26 19:00:45,4094770,3091171,4777734,4930934
2023-06-26 19:01:00,4101294,3094423,4784015,4932942
2023-06-26 19:01:15,4104519,3100813,4787159,4936698
2023-06-26 19:01:30,4109088,3103915,4793124,4938548
2023-06-26 19:01:45,4110698,3109758,4795987,4941576
2023-06-26 19:02:00,4113633,3112700,4801455,4943141
2023-06-26 19:02:15,4115063,3118126,4803451,4945766
2023-06-26 19:02:30,4117371,3120708,4806018,4947017
2023-06-26 19:02:45,4118610,3125439,4807232,4949256
2023-06-26 19:03:00,4120519,3126969,4809253,4950327

