"Time","total","emqx-0","emqx-1","emqx-3","emqx-2"
2023-06-27 13:38:45,8,1,0,4,3
2023-06-27 13:39:00,11,1,1,4,5
2023-06-27 13:39:15,13,1,3,4,5
2023-06-27 13:39:30,16,3,3,4,6
2023-06-27 13:39:45,17,3,4,4,6
2023-06-27 13:40:00,19,4,5,4,6
2023-06-27 13:40:15,21,4,5,6,6
2023-06-27 13:40:30,24,4,7,7,6
2023-06-27 13:40:45,25,4,8,7,6
2023-06-27 13:41:00,29,4,9,9,7
2023-06-27 13:41:15,29,4,9,9,7
2023-06-27 13:41:30,32,6,9,10,7
2023-06-27 13:41:45,34,7,10,10,7
2023-06-27 13:42:00,36,8,11,10,7
2023-06-27 13:42:15,37,9,11,10,7
2023-06-27 13:42:30,40,9,13,11,7
2023-06-27 13:42:45,42,11,13,11,7
2023-06-27 13:43:00,44,13,13,11,7
2023-06-27 13:43:15,46,13,15,11,7
2023-06-27 13:43:30,49,15,15,12,7
2023-06-27 13:43:45,50,16,15,12,7
2023-06-27 13:44:00,53,17,15,14,7
2023-06-27 13:44:15,53,17,15,14,7
2023-06-27 13:44:30,57,17,15,16,9
2023-06-27 13:44:45,58,17,15,17,9
2023-06-27 13:45:00,61,19,15,17,10
2023-06-27 13:45:15,62,20,15,17,10
2023-06-27 13:45:30,64,20,15,18,11
2023-06-27 13:45:45,64,20,15,18,11
2023-06-27 13:46:00,65,20,15,18,12
2023-06-27 13:46:15,67,21,16,18,12
2023-06-27 13:46:30,67,21,16,18,12
2023-06-27 13:46:45,68,21,16,19,12
2023-06-27 13:47:00,68,21,16,19,12
2023-06-27 13:47:15,69,21,17,19,12
2023-06-27 13:47:30,69,21,17,19,12
2023-06-27 13:47:45,70,22,17,19,12
2023-06-27 13:48:00,71,22,18,19,12
2023-06-27 13:48:15,71,22,18,19,12
2023-06-27 13:48:30,72,22,18,19,13
2023-06-27 13:48:45,72,22,18,19,13
2023-06-27 13:49:00,73,22,18,19,14
2023-06-27 13:49:15,73,22,18,19,14
2023-06-27 13:49:30,73,22,18,19,14
2023-06-27 13:49:45,74,22,18,20,14
2023-06-27 13:50:00,74,22,18,20,14
2023-06-27 13:50:15,74,22,18,20,14
2023-06-27 13:50:30,74,22,18,20,14
2023-06-27 13:50:45,75,22,19,20,14
2023-06-27 13:51:00,75,22,19,20,14
2023-06-27 13:51:15,75,22,19,20,14
2023-06-27 13:51:30,75,22,19,20,14
2023-06-27 13:51:45,75,22,19,20,14
2023-06-27 13:52:00,75,22,19,20,14
2023-06-27 13:52:15,75,22,19,20,14
2023-06-27 13:52:30,75,22,19,20,14
2023-06-27 13:52:45,75,22,19,20,14
2023-06-27 13:53:00,75,22,19,20,14
2023-06-27 13:53:15,75,22,19,20,14
2023-06-27 13:53:30,75,22,19,20,14
2023-06-27 13:53:45,75,22,19,20,14
2023-06-27 13:54:00,75,22,19,20,14
2023-06-27 13:54:15,75,22,19,20,14
2023-06-27 13:54:30,75,22,19,20,14
2023-06-27 13:54:45,75,22,19,20,14
2023-06-27 13:55:00,75,22,19,20,14
2023-06-27 13:55:15,75,22,19,20,14
2023-06-27 13:55:30,75,22,19,20,14
2023-06-27 13:55:45,75,22,19,20,14
2023-06-27 13:56:00,75,22,19,20,14
2023-06-27 13:56:15,75,22,19,20,14
2023-06-27 13:56:30,75,22,19,20,14
2023-06-27 13:56:45,75,22,19,20,14
2023-06-27 13:57:00,75,22,19,20,14
2023-06-27 13:57:15,75,22,19,20,14
2023-06-27 13:57:30,75,22,19,20,14
2023-06-27 13:57:45,75,22,19,20,14
2023-06-27 13:58:00,75,22,19,20,14
2023-06-27 13:58:15,75,22,19,20,14
2023-06-27 13:58:30,75,22,19,20,14
2023-06-27 13:58:45,75,22,19,20,14
2023-06-27 13:59:00,75,22,19,20,14
2023-06-27 13:59:15,75,22,19,20,14
2023-06-27 13:59:30,75,22,19,20,14
2023-06-27 13:59:45,75,22,19,20,14
2023-06-27 14:00:00,75,22,19,20,14
2023-06-27 14:00:15,75,22,19,20,14
2023-06-27 14:00:30,75,22,19,20,14
2023-06-27 14:00:45,75,22,19,20,14
2023-06-27 14:01:00,75,22,19,20,14
2023-06-27 14:01:15,75,22,19,20,14
2023-06-27 14:01:30,75,22,19,20,14
2023-06-27 14:01:45,75,22,19,20,14
2023-06-27 14:02:00,75,22,19,20,14
2023-06-27 14:02:15,75,22,19,20,14
2023-06-27 14:02:30,75,22,19,20,14
2023-06-27 14:02:45,75,22,19,20,14
2023-06-27 14:03:00,75,22,19,20,14
2023-06-27 14:03:15,75,22,19,20,14
2023-06-27 14:03:30,75,22,19,20,14
2023-06-27 14:03:45,75,22,19,20,14
2023-06-27 14:04:00,75,22,19,20,14
2023-06-27 14:04:15,75,22,19,20,14
2023-06-27 14:04:30,75,22,19,20,14
2023-06-27 14:04:45,75,22,19,20,14
2023-06-27 14:05:00,75,22,19,20,14
2023-06-27 14:05:15,75,22,19,20,14
2023-06-27 14:05:30,75,22,19,20,14
2023-06-27 14:05:45,75,22,19,20,14
2023-06-27 14:06:00,75,22,19,20,14
2023-06-27 14:06:15,75,22,19,20,14
2023-06-27 14:06:30,75,22,19,20,14
2023-06-27 14:06:45,75,22,19,20,14
2023-06-27 14:07:00,75,22,19,20,14
2023-06-27 14:07:15,75,22,19,20,14
2023-06-27 14:07:30,75,22,19,20,14
2023-06-27 14:07:45,75,22,19,20,14
2023-06-27 14:08:00,75,22,19,20,14
2023-06-27 14:08:15,75,22,19,20,14
2023-06-27 14:08:30,75,22,19,20,14
2023-06-27 14:08:45,75,22,19,20,14
2023-06-27 14:09:00,75,22,19,20,14
2023-06-27 14:09:15,75,22,19,20,14
2023-06-27 14:09:30,75,22,19,20,14
2023-06-27 14:09:45,75,22,19,20,14
2023-06-27 14:10:00,75,22,19,20,14
2023-06-27 14:10:15,75,22,19,20,14
2023-06-27 14:10:30,75,22,19,20,14
2023-06-27 14:10:45,75,22,19,20,14
2023-06-27 14:11:00,75,22,19,20,14
2023-06-27 14:11:15,75,22,19,20,14
2023-06-27 14:11:30,75,22,19,20,14
2023-06-27 14:11:45,75,22,19,20,14
2023-06-27 14:12:00,75,22,19,20,14
2023-06-27 14:12:15,75,22,19,20,14
2023-06-27 14:12:30,75,22,19,20,14
2023-06-27 14:12:45,75,22,19,20,14
2023-06-27 14:13:00,75,22,19,20,14
2023-06-27 14:13:15,75,22,19,20,14
2023-06-27 14:13:30,75,22,19,20,14
2023-06-27 14:13:45,75,22,19,20,14
2023-06-27 14:14:00,75,22,19,20,14
2023-06-27 14:14:15,75,22,19,20,14
2023-06-27 14:14:30,75,22,19,20,14
2023-06-27 14:14:45,75,22,19,20,14
2023-06-27 14:15:00,75,22,19,20,14

